stmt (8)
Date,Description,Amount,Type
05/01/2023,STARBUCKS STORE 07219 04/29 MOBILE PURCHASE PROVIDENCE RI,-4.27,RI Food
05/01/2023,POKEWORKS 04/29 MOBILE PURCHASE PROVIDENCE RI,-16.68,RI Food
05/05/2023,STARBUCKS STORE 07219 05/03 MOBILE PURCHASE PROVIDENCE RI,-4.27,RI Food
05/08/2023,STARBUCKS STORE 07219 05/05 MOBILE PURCHASE PROVIDENCE RI,-3.19,RI Food
05/08/2023,PP*APPLE.COM/BILL 05/06 PURCHASE 402-935-7733 CA,-0.99,Tech
05/08/2023,STARBUCKS STORE 07219 05/06 MOBILE PURCHASE PROVIDENCE RI,-4.27,RI Food
05/08/2023,VENMO DES:PAYMENT ID:XXXXX58999080 INDN:MICHELLE LUOWEN DING CO ID:XXXXX81992 WEB,-35.00,RI Food
05/09/2023,Online Banking transfer from SAV 4785 Confirmation# XXXXX32878,200.00,Savings
05/10/2023,VENMO DES:PAYMENT ID:XXXXX20365507 INDN:MICHELLE LUOWEN DING CO ID:XXXXX81992 WEB,-50.00,Gift to Angel
05/12/2023,"BROWN UNIVERSITY DES:DIRECT DEP ID:XXXXX7942577YOF INDN:DING,MICHELLE L CO ID:XXXXX11103 PPD",34.93,SAPE Income
05/12/2023,STARBUCKS STORE 07219 05/10 MOBILE PURCHASE PROVIDENCE RI,-4.27,RI Food
05/15/2023,MBTA MTICKET 05/12 PURCHASE 617-222-3200 MA,-12.25,RI Transport
05/15/2023,SQ *NEW METRO MART 05/14 MOBILE PURCHASE Providence RI,-2.99,RI Food
05/15/2023,PAYPAL *SPOTIFYUSAI 05/14 PURCHASE 402-935-7733 NY,-5.34,Tech
05/16/2023,STARBUCKS STORE 07219 05/14 MOBILE PURCHASE PROVIDENCE RI,-4.27,RI Food
05/17/2023,STARBUCKS STORE 07219 05/15 MOBILE PURCHASE PROVIDENCE RI,-4.27,RI Food
05/22/2023,Zelle Transfer Conf# XXXXX7335; Stanley O Ijeh,800.00,Air Bnb
05/22/2023,Online Banking transfer from SAV 4785 Confirmation# XXXXX54867,600.00,Savings
05/22/2023,Zelle Transfer Conf# XXXXX2135; Stanley O Ijeh,311.09,Air Bnb
05/22/2023,LYFT *RIDE SAT 6PM 05/20 PURCHASE lyft.com CA,-16.86,DC transport
05/22/2023,Navy Yard Navy 05/21 PURCHASE Washington DC,-22.00,DC Food
05/22/2023,CVS/PHARMACY #10833 05/21 MOBILE PURCHASE WASHINGTON DC,-2.59,DC Food
05/22/2023,TST* TATTE BAKERY - CIT 05/21 MOBILE PURCHASE WASHINGTON DC,-5.50,DC Food
05/22/2023,TST* TATTE BAKERY - CIT 05/21 MOBILE PURCHASE WASHINGTON DC,-16.50,DC Food
05/22/2023,RICE MARKET 05/21 MOBILE PURCHASE WASHINGTON DC,-72.45,DC Food
05/23/2023,Online Banking transfer from SAV 4785 Confirmation# XXXXX68251,"1,000.00",Savings
05/23/2023,Zelle Transfer Conf# XXXXX8028; Stanley O Ijeh,153.00,Air Bnb
05/24/2023,LYFT *RIDE MON 12PM 05/22 PURCHASE lyft.com CA,-9.72,DC transport
05/24/2023,TST* TATTE BAKERY - CIT 05/22 MOBILE PURCHASE WASHINGTON DC,-11.00,DC Food
05/24/2023,SUSHI AOI 05/22 MOBILE PURCHASE WASHINGTON DC,-27.77,DC Food
05/24/2023,SQ *LOT 38 ESPRESSO BAR 05/23 MOBILE PURCHASE Washington DC,-6.86,DC Food
05/24/2023,SQ *SOMTAM HOLDINGS 1 L 05/23 MOBILE PURCHASE Washington DC,-5.50,DC Food
05/25/2023,COURTYARD WASHINGTON C 05/21 PURCHASE WASHINGTON DC,"-1,016.89",Hotel
05/25/2023,LYFT *RIDE TUE 1PM 05/23 PURCHASE lyft.com CA,-11.74,DC transport
05/25/2023,SELINA OPERATION NY AVE 05/23 PURCHASE WASHINGTON DC,-788.79,Hotel
05/25/2023,TST* TaKorean - Union M 05/23 MOBILE PURCHASE Washington DC,-14.29,DC Food
05/25/2023,SQ *POW POW FRANKLIN SQ 05/24 MOBILE PURCHASE Washington DC,-12.10,DC Food
05/26/2023,FRUITIVE 05/25 MOBILE PURCHASE WASHINGTON DC,-10.95,DC Food
05/26/2023,LYFT *RIDE THU 7PM 05/25 PURCHASE lyft.com CA,-7.90,DC transport
05/26/2023,LYFT *RIDE THU 7PM 05/25 PURCHASE lyft.com CA,-10.99,DC transport
05/26/2023,LYFT *RIDE THU 9PM 05/26 PURCHASE lyft.com CA,-9.73,DC transport
05/30/2023,VENMO DES:CASHOUT ID:XXXXX46072498 INDN:MICHELLE LUOWEN DING CO ID:XXXXX81992 PPD,531.85,Gift from Angel
05/30/2023,SQ *THE CHINESE STREET 05/27 MOBILE PURCHASE Washington DC,-18.08,DC Food
05/30/2023,LYFT *RIDE SUN 3PM 05/28 PURCHASE lyft.com CA,-13.98,DC transport
05/30/2023,WALGREENS STOR 05/28 MOBILE PURCHASE WASHINGTON DC,-16.77,DC Health
05/30/2023,TST* Oki Bowl - Georget 05/29 PURCHASE 202-944-8660 MD,-19.60,DC Food
05/30/2023,SP GLOSSIER 05/29 MOBILE PURCHASE XXX-XX560781 NY,-48.76,DC glossier
