stmt (10)
Date,Description,Amount,Type
09/05/2023,Online Banking transfer from SAV 4785 Confirmation# XXXXX67768,900.00,Savings
09/05/2023,ETT*257ThayerRENT 09/01 PURCHASE XXX-XX75491 IL,-1518.95,Rent
09/05/2023,POKEWORKS 09/01 MOBILE PURCHASE PROVIDENCE RI,-16.68,Food
09/05/2023,STARBUCKS STORE 07219 09/03 MOBILE PURCHASE PROVIDENCE RI,-9.61,Coffee
09/05/2023,WHOLEFDS PRO 10014 09/04 MOBILE PURCHASE PROVIDENCE RI,-110.65,Groceries
09/06/2023,ADLER BROTHERS INC. 09/05 MOBILE PURCHASE PROVIDENCE RI,-29.94,Home
09/07/2023,PP*APPLE.COM/BILL 09/06 PURCHASE 402-935-7733 CA,-0.99,Tech
09/07/2023,VENMO DES:PAYMENT ID:XXXXX41586257 INDN:MICHELLE LUOWEN DING CO ID:XXXXX81992 WEB,-35.00,Tech
09/08/2023,TST* COFFEE EXCHANGE RI 09/06 MOBILE PURCHASE PROVIDENCE RI,-5.72,Coffee
09/08/2023,POKEWORKS 09/07 MOBILE PURCHASE PROVIDENCE RI,-16.68,Food
09/08/2023,CVS/PHARMACY # 09/07 MOBILE PURCHASE PROVIDENCE RI,-8.69,Home
09/11/2023,TST* COFFEE EXCHANGE RI 09/08 MOBILE PURCHASE PROVIDENCE RI,-8.60,Coffee
09/11/2023,AMTRAK MOBILE 09/08 PURCHASE XXXXX63000 DC,-60.00,Amtrak
09/11/2023,SQ *DAVE'S COFFEE PROVI 09/09 MOBILE PURCHASE Providence RI,-4.32,Coffee
09/11/2023,WEEE INC. 09/09 PURCHASE XXXXX34967 CA,-28.93,Groceries
09/11/2023,CASPIAN RESTAURANT & BA 09/10 MOBILE PURCHASE PROVIDENCE RI,-15.57,Food
09/11/2023,CVS/PHARMACY # 09/11 MOBILE PURCHASE PROVIDENCE RI,-41.47,Home
09/12/2023,Zelle payment from NATHANAEL WINOTO Conf# gw16z68mo,22.00,Food
09/12/2023,TST* COFFEE EXCHANGE RI 09/10 MOBILE PURCHASE PROVIDENCE RI,-4.01,Coffee
09/12/2023,TST* COFFEE EXCHANGE RI 09/10 MOBILE PURCHASE PROVIDENCE RI,-4.59,Coffee
09/12/2023,WHOLEFDS PRO 10014 09/11 MOBILE PURCHASE PROVIDENCE RI,-125.91,Groceries
09/12/2023,POKEWORKS 09/11 MOBILE PURCHASE PROVIDENCE RI,-17.68,Food
09/12/2023,CVS/PHARMACY # 09/12 MOBILE PURCHASE PROVIDENCE RI,-5.34,Home
