06/01/2023,Beginning balance as of 06/01/2023,Amount,Type
06/01/2023,TST* TATTE BAKERY - WES 05/30 MOBILE PURCHASE WASHINGTON DC,-12.65,Food
06/01/2023,RICE BAR 12TH ST INC 05/31 MOBILE PURCHASE WASHINGTON DC,-12.87,Food
06/02/2023,UTRECHT ART XXXXX71892 05/31 MOBILE PURCHASE WASHINGTON DC,-38.98,Art
06/02/2023,SUSHI AOI 05/31 PURCHASE WASHINGTON DC,-38.00,Food
06/02/2023,ARC THE HOTEL 05/31 MOBILE PURCHASE WASHINGTON DC,-5.50,Food
06/02/2023,FISHCRAFT POKE DC LLC 06/01 MOBILE PURCHASE WASHINGTON DC,-17.59,Food
06/02/2023,SOI 38 06/01 PURCHASE XXX-XX89215 DC,-28.20,Food
06/02/2023,WALGREENS STOR 06/01 MOBILE PURCHASE WASHINGTON DC,-23.30,Food
06/05/2023,Online Banking transfer from SAV 4785 Confirmation# XXXXX33874,"1,100",Savings
06/05/2023,Online Banking transfer from SAV 4785 Confirmation# XXXXX42443,500,Savings
06/05/2023,Online Banking transfer from SAV 4785 Confirmation# XXXXX78828,200,Savings
06/05/2023,TST* TATTE BAKERY - CIT 06/01 PURCHASE 202-984-7540 DC,-5,Food
06/05/2023,SQ *DONBURI DUPONT 06/02 MOBILE PURCHASE WASHINGTON DC,-17.82,Food
06/05/2023,TST* TATTE BAKERY - WES 06/02 MOBILE PURCHASE WASHINGTON DC,-5.50,Food
06/05/2023,TST* Banana Leaves 06/02 PURCHASE 703-547-7540 DC,-20.05,Food
06/05/2023,SOI 38 06/03 PURCHASE XXX-XX89215 DC,-24,Food
06/05/2023,TST* TATTE BAKERY - WES 06/03 MOBILE PURCHASE WASHINGTON DC,-8.53,Food
06/05/2023,SQ *MISS PIXIE'S FURNIS 06/03 MOBILE PURCHASE Washington DC,-50.88,Home
06/05/2023,RICE MARKET 06/03 MOBILE PURCHASE WASHINGTON DC,-137.22,Food
06/05/2023,Zelle Transfer Conf# kxnnw7rlp; Adi,-1,Rent
06/05/2023,Zelle Transfer Conf# lrttw6lol; Adi,"-2,099",Rent
06/05/2023,SQ *UNION KITCHEN 06/04 MOBILE PURCHASE Washington DC,-2.99,Food
06/05/2023,NNT BED BATH & 06/04 PURCHASE WASHINGTON DC,-89.81,Home
06/05/2023,TARGET 00022590 06/04 MOBILE PURCHASE WASHINGTON DC,-65.70,Home
06/05/2023,WHOLEFDS FAV#1 06/05 MOBILE PURCHASE WASHINGTON DC,-65.53,Groceries
06/05/2023,VENMO DES:PAYMENT ID:XXXXX16300157 INDN:MICHELLE LUOWEN DING CO ID:XXXXX81992 WEB,-35,Home
06/06/2023,TST* Call Your Mother - 06/04 MOBILE PURCHASE Washington DC,-16,Food
06/06/2023,SAFEWAY 2912 06/04 MOBILE PURCHASE WASHINGTON DC,-104.98,Home
06/06/2023,TST* Haikan 06/04 PURCHASE Washington DC,-22.44,Food
06/06/2023,PAYPAL *MAX 06/04 PURCHASE 855-942-6669 NY,-17.11,HBO
06/06/2023,SQ *COMPASS COFFEE 06/05 MOBILE PURCHASE Washington DC,-8.18,Food
06/07/2023,PP*APPLE.COM/BILL 06/06 PURCHASE 402-935-7733 CA,-0.99,Tech
06/07/2023,HANA JAPANESE MARKET 06/06 MOBILE PURCHASE WASHINGTON DC,-27.40,Groceries
06/07/2023,NNT BED BATH & 06/07 MOBILE PURCHASE WASHINGTON DC,-62,Home
06/07/2023,VENMO DES:PAYMENT ID:XXXXX55364792 INDN:MICHELLE LUOWEN DING CO ID:XXXXX81992 WEB,-35,Tech
06/08/2023,REWILD 06/06 MOBILE PURCHASE WASHINGTON DC,-12.71,Home
06/08/2023,TARGET 00022590 06/07 MOBILE PURCHASE WASHINGTON DC,-7.30,Home
06/12/2023,VENMO DES:CASHOUT ID:XXXXX36704251 INDN:MICHELLE LUOWEN DING CO ID:XXXXX81992 PPD,18.29,Entertainment
06/15/2023,Online Banking transfer from SAV 4785 Confirmation# XXXXX47772,100,Savings
06/15/2023,TST* TATTE BAKERY - CIT 06/13 MOBILE PURCHASE WASHINGTON DC,-6,Food
06/15/2023,TST* TATTE BAKERY - CIT 06/13 MOBILE PURCHASE WASHINGTON DC,-18.75,Food
06/16/2023,TST* TATTE BAKERY - CIT 06/14 MOBILE PURCHASE WASHINGTON DC,-8.15,Food
06/16/2023,PAYPAL *SPOTIFYUSAI 06/14 PURCHASE 402-935-7733 NY,-5.34,Tech
06/20/2023,VENMO DES:CASHOUT ID:XXXXX57239154 INDN:MICHELLE LUOWEN DING CO ID:XXXXX81992 PPD,"2,360.62",Air BNB
06/20/2023,Online Banking transfer from SAV 4785 Confirmation# XXXXX79123,200,Savings
06/20/2023,TST* TATTE BAKERY - CIT 06/15 MOBILE PURCHASE WASHINGTON DC,-4.07,Food
06/20/2023,TST* TATTE BAKERY - CIT 06/15 MOBILE PURCHASE WASHINGTON DC,-7.65,Food
06/20/2023,PP*APPLE.COM/BILL 06/16 PURCHASE 402-935-7733 CA,-16.04,Tech
06/20/2023,TST* TATTE BAKERY - CIT 06/16 MOBILE PURCHASE WASHINGTON DC,-5.45,Food
06/20/2023,TST* TATTE BAKERY - CIT 06/16 MOBILE PURCHASE WASHINGTON DC,-19.20,Food
06/20/2023,PP*FOUR SEASONS NURSERY 06/18 MOBILE PURCHASE CHARLES TOWN WV,-3.75,Food
06/20/2023,SQ *DUPONT 06/18 MOBILE PURCHASE Washington DC,-12,Food
06/20/2023,PP*LEMONADELOVE 06/18 MOBILE PURCHASE COLLEGE PARK MD,-10,Food
06/20/2023,SAFEWAY 0923 06/18 MOBILE PURCHASE WASHINGTON DC,-50.05,Groceries
06/20/2023,ADAMS MORGAN ACE HARDWA 06/19 MOBILE PURCHASE WASHINGTON DC,-22.21,Plants
06/22/2023,CVS/PHARMACY #01355 06/21 MOBILE PURCHASE WASHINGTON DC,-33.60,Food
06/26/2023,HANA JAPANESE MARKET 06/24 MOBILE PURCHASE WASHINGTON DC,-3,Groceries
06/26/2023,WHOLEFDS FAV#1 06/25 MOBILE PURCHASE WASHINGTON DC,-35.12,Groceries
06/27/2023,MET OPERA 06/25 PURCHASE 212-799-3100 NY,-125,Met Opera
06/28/2023,TST* TATTE BAKERY - CIT 06/26 MOBILE PURCHASE WASHINGTON DC,-5.45,Food
06/28/2023,AMTRAK MOBILE 06/26 PURCHASE XXXXX63000 DC,-87.55,NYC Amtrak
06/29/2023,Audible*WI1SU43J3 06/28 PURCHASE Amzn.com/bill NJ,-7.44,Entertainment
